,REGNO
1550,24cu0320084
1548,24CU0320085
2191,24CU0320086
1565,24CU0320090
791,24CU0320092
906,24CU0320096
1020,24CU0320097
1065,24CU0320098
1184,24CU0320099
1152,24CU0320100
1246,24CU0320102
991,24CU0320103
2190,24cu0320123
2301,24CU0320123
168,24CU0320133
1193,24CU0330004
1157,24CU0330008
2311,24CU0330009
2313,24CU0330010
294,24CU0330012
1190,24CU0330013
476,24CU0330015
1328,24CU0330019
1068,24CU0330021
627,24CU0330022
1177,24CU0330024
2262,24CU0330025
1220,24cu0330027
1162,24CU0330028
82,24CU0330030
21,24CU0330033
2011,24cu0330034
1273,24CU0330034
317,24CU0330037
2261,24CU0330048
2163,24cu0330052
1375,24CU0330052
24,24CU0330053
1535,24CU0330055
1769,24CU0330065
315,24CU0330066
359,24CU033044
2136,24CU0340002
353,24CU0340004
306,24CU0340007
416,24CU0340011
236,24CU0340012
1238,24CU0340014
2315,24CU0340015
228,24CU0340020
635,24CU0340021
1243,24CU0340027
1244,24CU0340030
1168,24CU0390001
1906,24CU0390002
2009,24cu0390004
2037,24cu0390005
511,24CU0390005
1031,24CU0390006
13,24CU0390007
136,24CU0390008
622,24CU0390009
199,24CU0390013
636,24CU0390014
516,24CU0390015
200,24CU0390016
1127,24CU0390017
77,24CU0390018
1853,24CU0390019
1331,24CU0390020
337,24CU0390021
215,24CU0390023
211,24CU0390024
625,24CU0390025
368,24CU0390027
365,24CU0390028
1290,24CU0390029
435,24CU0390030
